year_of_survey,verbatim:_reasons_for_their_satisfaction_ratingss,verbatim:_suggested_areas_of_improvement
2020,Would be good if they could have a loyalty program similar to that of Grab as the prices are getting less competitive as compared to other players in the market like TaDa or Ryde,"Discounts, promotions or reward system"
2020,smooth journey and so far so good,
2020,Because that's the experience I've had,There waiting time
2020,They usually pose no issues,Train crowd and duration of waiting time
2020,I have always appreciated the quick travel of the Purple line as it is the most efficient line compared to the others. A line very much used to almost wherever I would like to travel to across Singapore.,It's crowd control maybe.
2020,Transport Bus and app easy way to use .,Not sure
2020,They're very good at their service,They're doing well
2020,We live in Punggol since 2007. The ease and comfort of riding North-East Line compare to other stations. It can be crowded sometimes but still tolerable than the other stations.,Can’t think of any right now. They’re doing ok.
2020,buses are always packed in the morning,bigger buses to cope with the peak hour
2020,my experience,yes
2020,"The frequency of the buses is not high, and I tend to have to wait up to 20 minutes for a bus",Improve bus frequencies
2020,Based on personal experience,More promotion/discount for ridrr
2020,Reliable and convenient service,Flexible options
2020,"No reason, just estimating the time",Maybe rewards
2020,Smooth rides most of the time,Sometimes aircon too low or otherwise
2020,Awesome,More Double bus
2020,I love their services,None for now
2020,It's good,It's perfect
2020,I have fast experience,None
2020,safe,frequency
2020,"I was quite comfortable with the ride, and I don't use taxi's that much",their fares
2020,extremely likely,extremely likely
2020,Booking a car is not as simple and it takes up more time to figure out than waiting for the car to arrive,to simplify car booking and make it easier for the old folks to book independently
2020,They offer a very good customer services,Implent new technology
2020,no comment,no comment
2020,Probably it is not as crowded compare to other line.,don't know
2020,fast and convenient,user experience of the stations can be improved still
2020,too crowded,dont breakdown
2020,They're the best. Love them,Everything is perfect
2020,"I have been taking this bus since I was studying in polytechnic. Have always been satisfied with the frequency, speed and safety of the bus. Although I do not travel as frequent as I used to with bus 67 I would say their standard is the same",NA
2020,Frequency of train can be shorter during peak hours.,
2020,They have a very nice customer service.,Nothing much
2020,Ease of hiring!   Comfort of car.   Smooth journey.,Time of waiting for car to arrive.   Cheaper fare
2020,"Service quality, Reliability","Timing of service, crowd management"
2020,Good,Frequency
2020,nothing to complain about,friendliness of drivers
